Sample in Buffer,Sample in Window,TRIGGER,npu_irq,npu_irq_latched,npu_array_clk_en,cpu_halted,debug_resetn,ram_write_beats[31:0],ram_read_beats[31:0],cycle_counter[31:0],dma_active_cycles[31:0],dma_data_cycles[31:0],dma_read_beats[31:0],dma_write_beats[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
175,175,0,1,1,0,0,1,00000010,00000024,0000009f,0000001c,00000018,00000008,00000010
176,176,0,1,1,0,0,1,00000010,00000024,000000a0,0000001c,00000018,00000008,00000010
177,177,0,1,1,0,0,1,00000010,00000025,000000a1,0000001c,00000018,00000008,00000010
178,178,0,1,1,0,0,1,00000010,00000025,000000a2,0000001c,00000018,00000008,00000010
179,179,0,1,1,0,0,1,00000010,00000025,000000a3,0000001c,00000018,00000008,00000010
180,180,0,1,1,0,0,1,00000010,00000025,000000a4,0000001c,00000018,00000008,00000010
181,181,0,1,1,0,0,1,00000011,00000025,000000a5,0000001c,00000018,00000008,00000010
182,182,0,1,1,0,0,1,00000011,00000025,000000a6,0000001c,00000018,00000008,00000010
183,183,0,1,1,0,0,1,00000011,00000025,000000a7,0000001c,00000018,00000008,00000010
184,184,0,1,1,0,0,1,00000011,00000025,000000a8,0000001c,00000018,00000008,00000010
185,185,0,1,1,0,0,1,00000011,00000025,000000a9,0000001c,00000018,00000008,00000010
186,186,0,1,1,0,0,1,00000011,00000025,000000aa,0000001c,00000018,00000008,00000010
187,187,0,1,1,0,0,1,00000011,00000025,000000ab,0000001c,00000018,00000008,00000010
188,188,0,1,1,0,0,1,00000011,00000026,000000ac,0000001c,00000018,00000008,00000010
189,189,0,1,1,0,0,1,00000011,00000026,000000ad,0000001c,00000018,00000008,00000010
190,190,0,1,1,0,0,1,00000011,00000026,000000ae,0000001c,00000018,00000008,00000010
191,191,0,1,1,0,0,1,00000011,00000026,000000af,0000001c,00000018,00000008,00000010
192,192,0,1,1,0,0,1,00000012,00000026,000000b0,0000001c,00000018,00000008,00000010
193,193,0,1,1,0,0,1,00000012,00000026,000000b1,0000001c,00000018,00000008,00000010
194,194,0,1,1,0,0,1,00000012,00000026,000000b2,0000001c,00000018,00000008,00000010
195,195,0,1,1,0,0,1,00000012,00000026,000000b3,0000001c,00000018,00000008,00000010
196,196,0,1,1,0,0,1,00000012,00000026,000000b4,0000001c,00000018,00000008,00000010
197,197,0,1,1,0,0,1,00000012,00000026,000000b5,0000001c,00000018,00000008,00000010
198,198,0,1,1,0,0,1,00000012,00000026,000000b6,0000001c,00000018,00000008,00000010
199,199,0,1,1,0,0,1,00000012,00000027,000000b7,0000001c,00000018,00000008,00000010
200,200,0,1,1,0,0,1,00000012,00000027,000000b8,0000001c,00000018,00000008,00000010
201,201,0,1,1,0,0,1,00000012,00000027,000000b9,0000001c,00000018,00000008,00000010
202,202,0,1,1,0,0,1,00000012,00000027,000000ba,0000001c,00000018,00000008,00000010
203,203,0,1,1,0,0,1,00000013,00000027,000000bb,0000001c,00000018,00000008,00000010
204,204,0,1,1,0,0,1,00000013,00000027,000000bc,0000001c,00000018,00000008,00000010
205,205,0,1,1,0,0,1,00000013,00000027,000000bd,0000001c,00000018,00000008,00000010
206,206,0,1,1,0,0,1,00000013,00000027,000000be,0000001c,00000018,00000008,00000010
207,207,0,1,1,0,0,1,00000013,00000027,000000bf,0000001c,00000018,00000008,00000010
208,208,0,1,1,0,0,1,00000013,00000027,000000c0,0000001c,00000018,00000008,00000010
